word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
g u t u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
b u d u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
g u b u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
k u n u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
m o t u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
n o p u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
t o k u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
b o n u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
m u t o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
b u n o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
k u g o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
m u k o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
p o d o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
d o b o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
d o p o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
g o m o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
