word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
n e k e,e e,training,TRUE,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
k e t e,e e,training,TRUE,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
m u t i,u i,training,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
b u n i,u i,training,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
k u g i,u i,training,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
m u k i,u i,training,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
g u t u,u u,training,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
b u d u,u u,training,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
g u b u,u u,training,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
k u n u,u u,training,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
t o n e,o e,training,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
m o t e,o e,training,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
n o p e,o e,training,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
b o k e,o e,training,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
p o d o,o o,training,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
d o b o,o o,training,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
d o p o,o o,training,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
g o m o,o o,training,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
