word,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
e e i,-4.898606212,-5.515641575,-5.517564073,1.6023623376530638,1.6022259219674835,1.1384575777880293,1.1378572181981825
e e i,-4.898606212,-5.515641575,-5.517564073,1.6023623376530638,1.6022259219674835,1.1384575777880293,1.1378572181981825
e i i,-5.096441538,-5.70209636,-5.703992137,1.5900447661410966,1.5899141002846733,1.111888127458327,1.1114761040177774
i e i,-5.096441538,-6.326763783,-6.3283702,1.528899799757871,1.5287951860367475,1.0993449099538202,1.0988901366581105
i i i,-5.294276865,-6.296692179,-6.29843174,1.5165822282459038,1.5164833643539377,1.0925653020059045,1.092225202540518
i i i,-5.294276865,-6.296692179,-6.29843174,1.5165822282459038,1.5164833643539377,1.0925653020059045,1.092225202540518
o o i,-7.445443129,-8.416353497,-8.414166817,1.3148658929938875,1.3148594320175535,1.0155747223608012,1.0156624665285197
o u i,-7.258748387,-8.325226815,-8.321872995,1.3554963658485284,1.3554709386110884,1.0273206295265749,1.027373367269941
o u i,-7.258748387,-8.325226815,-8.321872995,1.3554963658485284,1.3554709386110884,1.0273206295265749,1.027373367269941
u o i,-7.258748387,-10.36507123,-10.34055151,1.3098312459605397,1.3098269644850857,1.0095035022790733,1.0096138449163292
u u i,-7.072053646,-8.313578825,-8.310110989,1.3504617188151806,1.3504384710786206,1.0305897480321207,1.0306303173688127
u u i,-7.072053646,-8.313578825,-8.310110989,1.3504617188151806,1.3504384710786206,1.0305897480321207,1.0306303173688127
e i i,-5.096441538,-5.70209636,-5.703992137,1.5900447661410966,1.5899141002846733,1.111888127458327,1.1114761040177774
i e i,-5.096441538,-6.326763783,-6.3283702,1.528899799757871,1.5287951860367475,1.0993449099538202,1.0988901366581105
u o i,-7.258748387,-10.36507123,-10.34055151,1.3098312459605397,1.3098269644850857,1.0095035022790733,1.0096138449163292
o o i,-7.445443129,-8.416353497,-8.414166817,1.3148658929938875,1.3148594320175535,1.0155747223608012,1.0156624665285197
e e u,-5.787494603,-7.999896077,-7.998016639,1.4515876058294643,1.451594819323997,1.0743336206962533,1.0742187038854312
e e u,-5.787494603,-7.999896077,-7.998016639,1.4515876058294643,1.451594819323997,1.0743336206962533,1.0742187038854312
e i u,-5.985329929,-9.133157137,-9.117109096,1.4392700343174971,1.439282997641187,1.0696950404499839,1.0696024347487922
i e u,-5.985329929,-8.811018285,-8.808822766,1.3781250679342716,1.3781640833932611,1.0352209528620442,1.0352516223453592
i i u,-6.183165255,-9.727752957,-9.711548698,1.3658074964223044,1.3658522617104512,1.0503722149975614,1.0503515332715327
i i u,-6.183165255,-9.727752957,-9.711548698,1.3658074964223044,1.3658522617104512,1.0503722149975614,1.0503515332715327
o o u,-8.33433152,-7.765402551,-7.766718525,1.164091161170288,1.164228329374067,1.013667690179633,1.0137698713073224
o u u,-8.147636778,-6.840370062,-6.844438858,1.204721634024929,1.2048398359676018,1.036259843,1.0362449073693023
o u u,-8.147636778,-6.840370062,-6.844438858,1.204721634024929,1.2048398359676018,1.036259843,1.0362449073693023
u o u,-8.147636778,-9.714120287,-9.693103217,1.1590565141369402,1.1591958618415994,1.0075964700979052,1.007721249695132
u u u,-7.960942037,-6.828722071,-6.832676852,1.1996869869915812,1.1998073684351342,1.0395289613813459,1.039501857468174
u u u,-7.960942037,-6.828722071,-6.832676852,1.1996869869915812,1.1998073684351342,1.0395289613813459,1.039501857468174
e i u,-5.985329929,-9.133157137,-9.117109096,1.4392700343174971,1.439282997641187,1.0696950404499839,1.0696024347487922
i e u,-5.985329929,-8.811018285,-8.808822766,1.3781250679342716,1.3781640833932611,1.0352209528620442,1.0352516223453592
u o u,-8.147636778,-9.714120287,-9.693103217,1.1590565141369402,1.1591958618415994,1.0075964700979052,1.007721249695132
o o u,-8.33433152,-7.765402551,-7.766718525,1.164091161170288,1.164228329374067,1.013667690179633,1.0137698713073224
