Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
3,1701424495289,01/12/2023 09:54:55,1701424493771,1,01/12/2023 10:54:53,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2011.5999999046326,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701424497566,01/12/2023 09:54:57,1701424496028,1,01/12/2023 10:54:56,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4266.799999952316,,,diş,1,1,0,0,,,,,,Audio Check,diş
5,1701424499481,01/12/2023 09:54:59,1701424497963,1,01/12/2023 10:54:57,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1919.7000000476837,,,,,0,1,0,,,,,,Audio Check,diş
6,1701424499580,01/12/2023 09:54:59,1701424497969,1,01/12/2023 10:54:57,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,,,END TASK,,,,,26224,,,,,0,1,0,,,,,,,
1,1701424901477,01/12/2023 10:01:41,1701424901366,1,01/12/2023 11:01:41,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701424922924,01/12/2023 10:02:02,1701424922846,1,01/12/2023 11:02:02,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,21443,,,,,0,1,0,,,,,,Instructions,
3,1701424924982,01/12/2023 10:02:04,1701424924910,1,01/12/2023 11:02:04,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2053,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701424928841,01/12/2023 10:02:08,1701424928744,1,01/12/2023 11:02:08,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,5886,,,diş,1,1,0,0,,,,,,Audio Check,diş
5,1701424931974,01/12/2023 10:02:11,1701424931927,1,01/12/2023 11:02:11,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,3173,,,,,0,1,0,,,,,,Audio Check,diş
6,1701424932049,01/12/2023 10:02:12,1701424931931,1,01/12/2023 11:02:11,146089,8,task-axcc,,33345594,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Audio Check,9,SoundCheckPassed,2,test passed,,1,,,,,yes,Spreadsheet1,,,END TASK,,,,,30565,,,,,0,1,0,,,,,,,
