lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
mütebeyyin											l
mütecahil											l
avare			ava:ɾe	ava:ɾedʒi	ava:ɾejim	ava:ɾeji	ava:ɾem				l
mütecanis											l
mütecasir											l
mütecavir											l
mütecaviz											l
müteceddid											l
mütecelli											l
mütecellid											l
mütecemmi											l
mütecessim											l
mütecessis											l
avareleşmek											l
mütecezzi											l
mütedahil											l
mütedair											l
mütedavil											l
mütedenni											l
mütedeyyin											l
müteehhil											l
müteellim											l
müteemmil											l
müteenni											l
avarız											l
müteessif											l
müteessir											l
müteezzi											l
mütefavit											l
mütefekkir											l
mütefennin											l
müteferri											l
müteferrid											l
müteferrik											l
mütefessih											l
avarya											l
mütefevvik											l
mütegallib											l
mütegallibe											l
mütegayyir											l
mütehab											l
mütehaccir											l
mütehaddis											l
mütehakkim											l
mütehalif											l
mütehalik											l
avatıf											l
mütehallik											l
mütehammil											l
müteharrik											l
mütehaşi											l
mütehaşşid											l
mütehassıl											l
mütehassıs			mytehassɯs		mytehassɯsɯm	mytehassɯsɯ	mytehassɯsɯm				l
mütehassıslık											l
mütehassir											l
mütehassis			mytehassis		mytehassisim	mytehassisi	mytehassisim				l
avaz											l
mütehavvil											l
mütehayyil											l
mütehayyir											l
mütehayyiz											l
mütehevvir											l
müteheyyi											l
müteheyyic											l
müteheyyiç											l
mütekâmil											l
mütekâsif											l
avcı											l
mütekabil			myteka:biɫ		myteka:biɫim	myteka:biɫi	myteka:biɫim				l
mütekaddim											l
mütekaid											l
mütekait											l
mütekallis											l
mütekarib											l
mütekarrib											l
mütekebbir											l
mütekeffil											l
mütekellim											l
avcılık											l
mütelâki											l
mütelâtım											l
mütelaşi											l
mütelehhif											l
mütelevvin											l
mütelezziz											l
mütelif											l
mütemadi											l
mütemadiyen			mytema:dijen	mytema:dijendʒi	mytema:dijenim	mytema:dijeni	mytema:dijenim				l
mütemarız											l
acun											l
avdet											l
mütemayil											l
mütemayiz											l
mütemeddin											l
mütemekkin											l
mütemenna											l
mütemerkiz											l
mütemerrid											l
mütemevvic											l
mütemmim											l
mütenaim											l
avene											l
mütenahi											l
mütenakıs											l
mütenakız											l
mütenasib											l
mütenasip											l
mütenavıb											l
mütenavip											l
mütenazır											l
mütenebbi											l
mütenebbih											l
avenk											l
müteneffir											l
müteneffiz											l
mütenekkir											l
mütenekkiren											l
mütenevvi											l
mütenezzih											l
müteradif											l
müterafik											l
müterakim											l
müterakki											l
avgın											l
müterakkib											l
müterassıd											l
mütercem											l
mütercim			myteɾdʒim	myteɾdʒimdʒi	myteɾdʒimim	myteɾdʒimi	myteɾdʒimim				l
mütereddi											l
mütereddid											l
mütereddit			myteɾeddit		myteɾedditim	myteɾedditi	myteɾedditim				l
müterekkib											l
müterennim											l
mütereşşih											l
avi											l
müteressib											l
müterettib											l
müteşabih											l
müteşair											l
müteşebbis											l
müteşekki											l
müteşekkil											l
müteşekkir			mytesekkiɾ		mytesekki:ɾim	mytesekkiɾi	mytesekki:ɾim				l
müteşerri											l
mütesaddi											l
avize											l
mütesadif											l
mütesanid											l
mütesanit											l
mütesavi											l
müteselli											l
mütesellim											l
müteselsil											l
mütetabbib											l
mütetebbi											l
mütevafık											l
avizo											l
mütevahhiş											l
mütevakkıf											l
mütevali											l
mütevarid											l
mütevaris											l
mütevasıl											l
mütevassıt											l
mütevatir											l
mütevattın											l
mütevazi											l
avköpeği											l
mütevazı			myteva:zi~myteva:zi:		myteva:zijim~myteva:zi:jim	myteva:ziji~myteva:zi:ji	myteva:zim~myteva:zi:m				l
mütevazin											l
müteveccih											l
müteveffa											l
mütevehhim											l
mütevekkil											l
mütevelli											l
mütevellid											l
mütevellit											l
müteverrim											l
avlak											l
müteyakkız											l
müteyemmen											l
mütezad											l
mütezahir											l
mütezaif											l
mütezayid											l
mütezayit											l
mütezebzib											l
mütezellil											l
mütezelzil											l
avlamak											l
mütezevvic											l
müthiş											l
müttakî											l
müttefik			myttefik	myttefiktʃi	myttefi:kim	myttefi:ki	myttefi:kim				l
müttehaz											l
müttehem											l
müttehid											l
müttehiden											l
müttehim											l
müttekâ											l
acur			adʒuɾ		adʒuɾum	adʒuɾu	adʒuɾum				l
avlu			avɫu		avɫujum	avɫuju	avɫum				l
müvacehe											l
müvaneset											l
müvekkil											l
müvelled											l
müvellid											l
müvellidülhumuza											l
müvellidülma											l
müvellit											l
müverrih											l
müvesvis											l
avniye											l
müvezzi											l
müyesser											l
müz											l
müzic											l
müzab											l
müzaheme											l
müzaheret											l
müzahrefat											l
müzakerat											l
müzakere											l
avokat			avukat	avukattʃɯ	avukatɯm	avukatɯ	avukatɯm				l
müzayaka											l
müzayede			myza:jede		myza:jedejim	myza:jedeji	myza:jedem				l
müzdad											l
müzdahim											l
müze			myze	myzedʒi	myzejim	myzeji	myzem				l
müzebzeb											l
müzebzep											l
müzehheb											l
müzehhep											l
müzehher											l
avrat			avɾat		avɾadɯm	avɾadɯ	avɾadɯm				l
müzekker											l
müzekkere											l
müzevir											l
müzevvir											l
müzeyyel											l
müzeyyen											l
müzeyyif											l
müziç											l
müzik											l
müzikal			myzikal	myzikaldʒi	myzikalim	myzikali	myzikalim				l
avret											l
müzmin			myzmin	myzmindʒi	myzminim	myzmini	myzminim				l
muabbir											l
muaccel											l
muacciz											l
muaddel											l
muadele											l
muaf											l
muahede											l
muahedename											l
muaheze											l
avruk											l
muahhar											l
muahid											l
muahit											l
muakkib											l
muakkip											l
mualece											l
muallâ											l
muallâk											l
muallak											l
muallel											l
avuc											l
muallem											l
muallim			muaɫɫim	muaɫɫimdʒi	muaɫɫimim	muaɫɫimi	muaɫɫimim				l
muamelat											l
muamele			mua:meɫe		mua:meɫejim	mua:meɫeji	mua:meɫem				l
muameleci											l
muamma											l
muammer											l
muanaka											l
muannid											l
muannit											l
avuç			avutʃ	avutʃtʃu	avudʒum	avudʒu	avudʒum				l
muaraza											l
muarefe											l
muareke											l
muarız											l
muariz											l
muarra											l
muarreb											l
muarref											l
muaşaka											l
muaşeret											l
avukat			avukat	avukattʃɯ	avukatɯm	avukatɯ	avukatɯm				l
muasir											l
muateb											l
muattal											l
muattar											l
muavaza											l
muavedet											l
muavenet											l
muavin			mua:vin	mua:vindʒi	mua:vinim	mua:vini	mua:vinim				l
muavvec											l
muayede											l
avunç											l
muayene			muajene	muajenedʒi	muajenejim	muajeneji	muajenem				l
muayyeb											l
muayyen											l
muazzam			muazzam	muazzamdʒɯ	muazzamɯm	muazzamɯ	muazzamɯm				l
muazzeb											l
muazzep											l
muazzez											l
mubah											l
mubassır											l
mubayaa											l
acuze			adʒu:ze		adʒu:zejim	adʒu:zeji	adʒu:zem				l
avundurmak											l
muçik											l
muço											l
mucib			mu:dʒip	mu:dʒiptʃi	mu:dʒibim	mu:dʒibi	mu:dʒibim				l
mucibince											l
mucid											l
mucir											l
mucit			mu:dʒit	mu:dʒittʃi	mu:dʒidim	mu:dʒidi	mu:dʒidim				l
muciz											l
mucize											l
mucuk											l
avunmak			avunmak					avunuɾ		avut	l
mucur											l
mudalla											l
mudarebe											l
mudhik											l
mudi											l
mudil											l
mufad											l
mufarakat											l
mufarik											l
mufassal											l
avurd			avuɾt	avuɾttʃu	avuɾdum	avuɾdu	avuɾdum				l
muğ											l
muğbeçe											l
muğber											l
muğfil											l
muğlâk											l
muğlak											l
muğpeçe											l
mugaddi											l
mugalâta											l
mugalata											l
avurt											l
muganni											l
muganniye											l
mugayeret											l
mugayir											l
mugaylan											l
mugayyebat											l
mugayyer											l
muh											l
muhabbet			muhabbet	muhabbettʃi	muhabbetim	muhabbeti	muhabbetim				l
muhabere			muha:beɾe		muha:beɾejim	muha:beɾeji	muha:beɾem				l
avut											l
muhaceme											l
muhaceret											l
muhacim											l
muhacir											l
muhaddeb											l
muhaddep											l
muhadder											l
muhaddis											l
muhadenet											l
muhafaza											l
avutmak			avutmak					avutuɾ		avuttuɾ	l
muhaffef											l
muhafiz											l
muhakeme			muha:keme	muha:kemedʒi	muha:kemejim	muha:kemeji	muha:kemem				l
muhakkak											l
muhakkar											l
muhal											l
muhalefet											l
muhalesat											l
muhalif			muha:ɫif	muha:ɫiftʃi	muha:ɫifim	muha:ɫifi	muha:ɫifim				l
muhallebi											l
ay											l
muhalled											l
muhallef											l
muhallil											l
muhami											l
muhammen											l
muhammes											l
muhammin											l
muhanat											l
muhannes											l
muharebe			muha:ɾebe	muha:ɾebedʒi	muha:ɾebejim	muha:ɾebeji	muha:ɾebem				l
aya											l
muharref											l
muharrem			muhaɾɾem		muhaɾɾemim	muhaɾɾemi	muhaɾɾemim				l
muharrer											l
muharrib											l
muharrif											l
muharrik											l
muharrir											l
muharriş											l
muhasama											l
muhasamat											l
aya l											l
muhasara											l
muhasebat											l
muhasım											l
muhasır											l
muhasib											l
muhasiplik											l
muhassala											l
muhassas											l
muhassenat											l
muhassıl											l
ayağınaçabuk											l
muhat											l
muhatab											l
muhatap			mua:tap		muha:tabɯm	muha:tabɯ	muha:tabɯm				l
muhatara											l
muhatî											l
muhavere											l
muhavvel											l
muhayyel											l
muhayyer											l
muhayyile											l
âsan											l
acyo											l
ayak			ajak	ajaktʃɯ	ajaɯm	ajaɯ	ajaɯm				l
muhayyir											l
muhbir			muhbiɾ	muhbiɾdʒi	muhbiɾim~muhbi:ɾim	muhbiɾi~muhbi:ɾi	muhbiɾim~muhbi:ɾim				l
muhbirlik											l
muhdes											l
muhib											l
muhik											l
muhil											l
muhip											l
muhit			muhit	muhittʃi	muhidim	muhidi	muhidim				l
muhkem											l
ayakaltı											l
muhlis											l
muhnik											l
muhrik											l
muhrip			muhɾip		muhɾibim	muhɾibi	muhɾibim				l
muhsin											l
muhtac			muhtatʃ		muhta:dʒɯm	muhta:dʒɯ	muhta:dʒɯm				l
muhtaç			muhtatʃ		muhta:dʒɯm	muhta:dʒɯ	muhta:dʒɯm				l
muhtar			muhtaɾ		muhtaɾɯm	muhtaɾɯ	muhtaɾɯm				l
muhtas											l
muhtasar											l
ayakbastı											l
muhtazır											l
muhtecib											l
muhtefi											l
muhtekir											l
muhtel											l
muhtelefünfih											l
muhteli											l
muhtelic											l
muhtelif			muhteɫif	muhteɫiftʃi	muhteɫifim	muhteɫifi	muhteɫifim				l
muhtelis											l
ayakkabı			ajakkabɯ	ajakkabɯdʒɯ	ajakkabɯjɯm	ajakkabɯjɯ	ajakkabɯm				l
muhtelişşuur											l
muhtelit											l
muhtemel											l
muhtemir											l
muhterem			muhteɾem	muhteɾemdʒi	muhteɾemim	muhteɾemi	muhteɾemim				l
muhteri											l
muhteris											l
muhteriz											l
muhteşem			muhteʃem	muhteʃemdʒi	muhteʃemim	muhteʃemi	muhteʃemim				l
muhteva			muhteva:		muhteva:jɯm	muhteva:jɯ	muhteva:m				l
ayakkabıcı											l
muhti											l
muhtıra											l
muhuşevkî											l
muhyi											l
muhzır											l
muhzir											l
muin											l
muit											l
mujik											l
mukaar											l
ayaklamak											l
mukabele											l
mukabelebilmisil											l
mukabil			muka:biɫ		muka:biɫim						l
mukaddem											l
mukadder											l
mukaddes											l
mukaffa											l
mukallib											l
mukallid											l
mukallit											l
ayal											l
mukannen											l
mukarebet											l
mukarenet											l
mukarin											l
mukarreb											l
mukarrer											l
mukarrib											l
mukaseme											l
mukassat											l
mukassi											l
ayalamak											l
mukassim											l
mukataa											l
mukataalı											l
mukatele											l
mukatta											l
mukattar											l
mukavele											l
mukavemet											l
mukavva			mukavva:		mukavva:jɯm	mukavva:jɯ	mukavva:m				l
mukavves											l
ayan											l
mukavvi											l
mukayese			muka:jese	muka:jesedʒi	muka:jesejim	muka:jeseji	muka:jesem				l
mukayyed											l
mukayyi											l
mukayyid											l
mukbil											l
mukdim											l
mukim											l
mukni											l
mukoza zarı											l
ayandon											l
mukriz											l
muktataf											l
muktaza											l
muktazi											l
muktebes											l
mukteda											l
muktedir			muktediɾ		muktediɾim	muktediɾi	muktediɾim				l
muktesid											l
muktesit											l
mulaj											l
acz-											l
ayar											l
mum											l
mumaileyh											l
mumbasit											l
mumboyası											l
mumcu											l
mumya			mumja	mumjadʒɯ	mumjajɯm	mumjajɯ	mumjam				l
munafıklık											l
munakkid											l
munçak											l
mundar											l
ayarcı											l
munfasıl											l
munhasır											l
munis			mu:nis		mu:nisim	mu:nisi	mu:nisim				l
munkabız											l
munkalib											l
munkalip											l
munkatı											l
munsab											l
munsarif											l
munsif											l
ayarmak											l
muntabı											l
muntabık											l
muntafi											l
muntazam			muntazam		muntazamɯm	muntazamɯ	muntazamɯm				l
muntazar											l
muntazır											l
munzam											l
murabaha											l
murabba											l
murabit											l
ayartı											l
murabut											l
murad											l
murafaa											l
murahhas											l
murahhasa											l
murahhaslık											l
murakabe											l
murakkam											l
murana											l
murassa											l
ayaz			ajaz		ajazɯm	ajazɯ	ajazɯm				l
murat											l
murç											l
murdar											l
muris											l
murtad											l
muş											l
muşabak											l
muşamba			muʃamba		muʃambajɯm	muʃambajɯ	muʃambam				l
muşer											l
muşikâf											l
ayazağa											l
muşmula											l
muşta			muʃta		muʃtajɯm	muʃtajɯ	muʃtam				l
muştu											l
musab											l
musadakat											l
musaddak											l
musademe											l
musadere											l
musadif											l
musaf											l
ayazma											l
musafaha											l
musaffa											l
musahabe											l
musahhah											l
musahhihlik											l
musahib											l
musahip											l
musakka											l
musalâha											l
musalla											l
aybalığı											l
musallat			musaɫɫat		musaɫɫatɯm	musaɫɫatɯ	musaɫɫatɯm				l
musalli											l
musammem											l
musandıra											l
musanna											l
musannefat											l
musannif											l
musap											l
musaraa											l
musarrah											l
aybar											l
musavver											l
musır											l
musib											l
musibet			musi:bet		musi:betim	musi:beti	musi:betim				l
musikar											l
muska			muska		muskajɯm	muskajɯ	muskam				l
muslih											l
muslihane											l
muslin			mysɫin		mysɫinim	mysɫini	mysɫinim				l
musluk											l
aybaşı			ajbaʃɯ	ajbaʃɯdʒɯ	ajbaʃɯjɯm	ajbaʃɯnɯ	ajbaʃɯm				l
muson			muson	musondʒu	musonum	musonu	musonum				l
mussaka											l
mustalah											l
mustar											l
mustarip											l
mustatil											l
mut											l
muta											l
mutâ											l
mutaassıb											l
ad			ad		adɯm	adɯ	adɯm				l
ayçiçeği											l
mutaassıp											l
mutaazzım											l
mutabakat			muta:bakat	muta:bakattʃi	muta:bakatim	muta:bakati	muta:bakatim				l
mutaf											l
mutahhar											l
mutalebat											l
mutallâ											l
mutallâka											l
mutallaka											l
mutant											l
aydın											l
mutantan											l
mutanza											l
mutarıza											l
mutarra											l
mutasaddi											l
mutasallif											l
mutasarrıf											l
mutasavver											l
mutasavvıf											l
mutasyonizm											l
aydıncılık											l
mutat											l
mutatabbib											l
mutatabbip											l
mutavaat											l
mutavassıt											l
mutavvel											l
mutazallim											l
mutazammin											l
mutazarrır											l
mutbah											l
aydınlatma											l
muteber			mu:tebeɾ		mu:tebeɾim	mu:tebeɾi	mu:tebeɾim				l
mutedil											l
mutekadat											l
mutekatı											l
mutekid											l
mutekif											l
mutekit											l
mutemed			mu:temet	mu:temettʃi	mu:temedim	mu:temei	mu:temeim				l
mutemet											l
mutena			mu:tena:	mu:tena:dʒɯ	mu:tena:jɯm	mu:tena:jɯ	mu:tena:m				l
aydırmak											l
muterif			mu:teɾif	mu:teɾiftʃi	mu:teɾifim	mu:teɾifi	mu:teɾifim				l
muteriz											l
mutesif											l
mutezil											l
mutezile											l
mutfak											l
muthik											l
muti											l
mutlak			mutɫak	mutɫaktʃɯ	mutɫaɯm	mutɫaɯ	mutɫaɯm				l
mutlu			mutɫu		mutɫujum	mutɫuju	mutɫum				l
ayet											l
mutmain											l
mutsuluk											l
muttaki											l
muttali											l
muttarid											l
muttarit											l
muttasıf											l
muttasıl											l
muvacehe											l
muvafakat											l
ayevi											l
muvaffak			muvaffak		muvaffaɯm	muvaffaɯ	muvaffaɯm				l
muvafık											l
muvahhad											l
muvahhiş											l
muvahhit											l
muvakkar											l
muvakkat			muvakkat	muvakkattʃi	muvakkatim	muvakkati	muvakkatim				l
muvakkit											l
muvaneset											l
muvaredat											l
aygın											l
muvaşşah											l
muvasala											l
muvazaa											l
muvazat											l
muvazene			mua:zene	mua:zenedʒi	mua:zenejim	mua:zeneji	mua:zenem				l
muvazenet											l
muvazi											l
muvazin											l
muvazzaf											l
muvazzah											l
aygır											l
muylu											l
muymul											l
muz			muz	muzdʒu	muzum	muzu	muzum				l
muzaaf											l
muzad											l
muzaf											l
muzaffer			muzaffeɾ		muzaffeɾim	muzaffeɾi	muzaffeɾim				l
muzari											l
muzıka											l
muzır			muzɯɾ	muzɯɾdʒɯ	muzɯɾɯm	muzɯɾɯ	muzɯɾɯm				l
aygıt											l
muzib											l
muzip											l
muzlim											l
muzmahil											l
muzmer											l
muztar											l
muztarib			muztaɾip		muztaɾibim	muztaɾibi	muztaɾibim				l
na											l
na-											l
nâkıl											l
ada			ada	adadʒɯ	adajɯm	adajɯ	adam				l
ayı			ajɯ	ajɯdʒɯ	ajɯjɯm	ajɯjɯ	ajɯm				l
nâkıs											l
nâkız											l
nâkil											l
nâle											l
nâlet											l
nâr											l
nârıbeyza											l
nâs											l
nâşir											l
nâsıh											l
ayıb											l
nâsır			na:sɯɾ		na:sɯɾɯm	na:sɯɾɯ	na:sɯɾɯm				l
nâsih											l
nâzım			na:zɯm	na:zɯmdʒɯ	na:zɯmɯm	na:zɯmɯ	na:zɯmɯm				l
naaş											l
naat											l
nabeca											l
nabedid											l
nabehengâm											l
nabekâr											l
nabemahal											l
ayıb-											l
nabemevsim											l
nabız			nabɯz	nabɯzdʒɯ	nabɯzɯm	nabzɯ	nabzɯm				l
nabit											l
nabud											l
nabzı											l
naçar			na:tʃaɾ		na:tʃaɾɯm	na:tʃaɾɯ	na:tʃaɾɯm				l
naçiz			na:tʃiz		na:tʃizim	na:tʃizi	na:tʃizim				l
nacak											l
nacar											l
nadan											l
ayıbacağı											l
nadas			nadas		nadasɯm	nadasɯ	nadasɯm				l
nadide			na:dide		na:didejim	na:dideji	na:didem				l
nadim											l
nadir											l
naehil											l
nafaka			nafaka		nafakajɯm	nafakajɯ	nafakam				l
nafe											l
nafi											l
nafıa											l
nafile			na:fiɫe		na:fiɫejim	na:fiɫeji	na:fiɫem				l
ayık			ajɯk		ajɯɯm	ajɯɯ	ajɯɯm				l
nafiz											l
naftalin			naftaɫin		naftaɫinim	naftaɫini	naftaɫinim				l
nağme			na:me	na:medʒi	na:mejim	na:meji	na:mem				l
nagâh											l
nagana											l
nagant											l
nagehani											l
nagezuhur											l
nagış											l
nah			nax								l
ayıklama			ajɯkɫamak					ajɯkɫaɾ		ajɯkɫat	l
nahâh											l
nahak											l
nahif											l
nahil											l
nahiv											l
nahiye											l
nahoş			na:hoʃ		na:hoʃum	na:hoʃu	na:hoʃum				l
nahvet											l
nahvî											l
naib											l
ayıklamak											l
nail											l
naim											l
naime											l
naip											l
nakâm											l
nakabil											l
nakarat			nakaɾat	nakaɾattʃɯ	nakaɾatɯm	nakaɾatɯ	nakaɾatɯm				l
nakavt			nakavt		nakavtɯm	nakavtɯ	nakavtɯm				l
nakd-											l
nakden			nakten	naktendʒi	naktenim	nakteni	naktenim				l
ayıklık											l
nakes											l
nakîz											l
nakıl											l
nakır											l
nakıs											l
nakış											l
nakız											l
nakibuleşraf											l
nakid											l
nakil			nakiɫ	nakiɫdʒi	nakiɫim	nakɫi	nakɫim				l
ayıkulağı											l
nakisa											l
nakit											l
nakkare											l
nakkaş			nakkaʃ		nakkaʃɯm	nakkaʃɯ	nakkaʃɯm				l
naklen			nakɫen	nakɫendʒi	nakɫenim	nakɫeni	nakɫenim				l
nakletmek											l
nakli											l
nakris											l
nakş											l
nakş-											l
ayılmak											l
nakten			nakten								l
nakus											l
nakz-											l
nakzen											l
nal			naɫ	naɫdʒɯ	naɫɯm	naɫɯ	naɫɯm				l
nalân											l
nalâyık											l
nalband											l
nalbant											l
nalbur			naɫbuɾ	naɫbuɾdʒu	naɫbuɾum	naɫbuɾu	naɫbuɾum				l
ada soğanı											l
ayınga											l
nalça											l
nalın			naɫɯn		naɫɯnɯm	naɫɯnɯ	naɫɯnɯm				l
nallamak											l
nam			nam		na:mɯm	na:mɯ	na:mɯm				l
namağlup											l
namaglûb											l
namahdud											l
namahrem			na:mahɾem	na:mahɾemdʒi	na:mahɾemim	na:mahɾemi	na:mahɾemim				l
namakul											l
namalûm											l
ayıp											l
namaz											l
namazgâh											l
namdar											l
name											l
nameri											l
namerd											l
nameri											l
namert			na:meɾt	na:meɾttʃi	na:meɾdim	na:meɾdi	na:meɾdim				l
nami											l
namizac											l
ayıpençesi											l
namkör											l
namlı											l
namlu											l
namüsaid											l
namüsait			na:mysa:it	na:mysa:ittʃi	na:mysa:idim	na:mysa:idi	na:mysa:idim				l
namütenahi			na:mytena:i	na:mytena:idʒi	na:mytena:ijim	na:mytena:iji	na:mytena:im				l
namurad											l
namus			na:mus		na:musum	na:musu	na:musum				l
namuskâr											l
namzed											l
ayıplama											l
namzet											l
nan											l
nanay			nanaj								l
nane											l
naneli											l
nanemolla			na:nemoɫɫa	na:nemoɫɫadʒɯ	na:nemoɫɫajɯm	na:nemoɫɫajɯ	na:nemoɫɫam				l
nanik			nanik		naniim	nanii	naniim				l
nankör			nankøɾ	nankøɾdʒy	nankøɾym	nankøɾy	nankøɾym				l
nano-											l
nanpare											l
ayır aç											l
nansuk											l
nap											l
napak											l
nar											l
nara											l
narcıl											l
nardenk											l
nardin											l
narenc											l
nareva											l
ayırd											l
nargile											l
nargiller											l
narh											l
narî											l
narin			na:ɾin		na:ɾinim	na:ɾini	na:ɾinim				l
nark											l
narkotik											l
narsisizm			naɾsisizim		naɾsisizmim	naɾsisizmi	naɾsisizmim				l
nartaşları											l
nas											l
ayırmak											l
naş											l
naşad											l
naşenide											l
naşi											l
naşir											l
nasaz											l
nasb											l
nasb-											l
naseza											l
nasıl			nasɯɫ	nasɯɫdʒɯ	nasɯɫɯm	nasɯɫɯ	nasɯɫɯm				l
ayırt			ajɯɾt		ajɯɾdɯm	ajɯɾdɯ	ajɯɾdɯm				l
nasıp											l
nasır			nasɯɾ	nasɯɾdʒɯ	nasɯɾɯm	nasɯɾɯ	nasɯɾɯm				l
nasırcılık											l
nasıye											l
nasib											l
nasibedar											l
nasihat											l
nasip			nasip		nasi:bim	nasi:bi	nasi:bim				l
nasir											l
nasiye											l
ayırtaç											l
nasrani											l
nassı											l
nasuh											l
nasut											l
natamam											l
natık											l
natıka											l
natır											l
natırlık											l
nativizm											l
ayışığı											l
natron											l
natüralist											l
natüvan											l
natuk											l
natura											l
navar											l
navçağan											l
navigasyon											l
navlun			navɫun	navɫundʒu	navɫunum	navɫunu	navɫunum				l
nay											l
ada tavşanı											l
ayıüzümü											l
naylon											l
naz											l
nazar			nazaɾ	nazaɾdʒɯ	nazaɾɯm	nazaɾɯ	nazaɾɯm				l
nazaran											l
nazare											l
nazari											l
nazarlık											l
nazende											l
nazenin			na:zenin	na:zenindʒi	na:zeninim	na:zenini	na:zeninim				l
nazım			na:zɯm	na:zɯmdʒɯ	na:zɯmɯm	na:zɯmɯ	na:zɯmɯm				l
ayin											l
nazır											l
nazif											l
nazik											l
nazikâne											l
nazil											l
nazir											l
nazlanmak											l
nazlı											l
nazm-											l
nazmen											l
ayine											l
ne											l
nebat			nebat	nebattʃɯ	nebatɯm	nebatɯ	nebatɯm				l
nebbaş											l
nebevi											l
nebevî											l
nebi											l
nebil											l
nebula			nebuɫa	nebuɫadʒɯ	nebuɫajɯm	nebuɫajɯ	nebuɫam				l
nebze			nebze		nebzejim	nebzeji	nebzem				l
necabet											l
aykırı			ajkɯɾɯ		ajkɯɾɯjɯm	ajkɯɾɯjɯ	ajkɯɾɯm				l
necah											l
necaset											l
necat											l
nece											l
neceftaşı											l
neci											l
necib											l
necim											l
necip											l
necis											l
aykırıkanı											l
nedamet											l
nedbe											l
neden			neden		nedenim	nedeni	nedenim				l
nedenbilim											l
nedense											l
nedim											l
nedret											l
nefaset			nefa:set		nefa:setim	nefa:seti	nefa:setim				l
nefer			nefeɾ	nefeɾdʒi	nefeɾim	nefeɾim	nefeɾim				l
nefes											l
ayla											l
nefeslemek											l
nefha											l
nefi											l
nefîs											l
nefih											l
nefir											l
nefis			nefis		nefisim	nefisi	nefisim				l
nefiy											l
nefret											l
nefridyum											l
aylak			ajɫak		ajɫaɯm	ajɫaɯ	ajɫaɯm				l
nefrin											l
nefrit											l
nefs-											l
nefsani											l
nefsanî											l
nefsî											l
neft			neft	nefttʃi	neftim	nefti	neftim				l
nefy-											l
nefyetmek											l
negatif			negatif	negatiftʃi	negatifim	negatifi	negatifim				l
aylakça											l
nehafet											l
nehale											l
nehar											l
neharen											l
nehib											l
nehir			nehiɾ	nehiɾdʒi	nehiɾim	nehɾi	nehɾim				l
nehiy											l
nehyetmek											l
nejat											l
nekadar											l
aylandız											l
nekahet											l
nekais											l
nekbet											l
nekes			nekes	nekestʃi	nekesim	nekesi	nekesim				l
nekre											l
nektar			nektaɾ		nektaɾɯm	nektaɾɯ	nektaɾɯm				l
nelik											l
nem			nem		nemim	nemi	nemim				l
nema											l
nemçeker											l
aylanmak											l
nemcil											l
nemelâzımlık											l
nemelazımcı											l
nemf											l
nemlendirici											l
nemlenmek			nemɫenmek					nemɫeniɾ		nemɫendiɾ	l
nemrud			nemɾut	nemɾuttʃu	nemɾudum	nemɾudu	nemɾudum				l
nemrut											l
nen											l
neodim											l
adab-											l
aylı											l
neptunyum											l
nerde											l
nerdeyse											l
nere											l
nergis			neɾgis		neɾgisim	neɾgisi	neɾgisim				l
nerh											l
neritel											l
nerm											l
nervür											l
neset											l
aylık											l
neşe											l
neşat											l
neşe											l
neşelendirmek											l
neşet											l
neşide											l
neşir											l
neşretmek											l
neşr-											l
neşter											l
aylıkçı											l
neşve											l
neşvünema											l
nesayih											l
nescetmek											l
neseb											l
nesep											l
neshetmek											l
nesic											l
nesiç											l
nesih											l
aymak											l
nesil											l
nesim											l
nesir			nesiɾ	nesiɾdʒi	nesiɾim	nesɾi	nesɾim				l
nesir -ri											l
nesnas											l
nesne			nesne		nesnejim	nesneji	nesnem				l
nesnel			nesneɫ		nesneɫim	nesneɫi	nesneɫim				l
nesr-											l
nesren											l
nesrin											l
ayn											l
nesturi											l
net			net	nettʃi	netim	neti	netim				l
neta											l
netameli			neta:meɫi	neta:meɫidʒi	neta:meɫijim	neta:meɫiji	neta:meɫim				l
netayic											l
netice			neti:dʒe		neti:dʒejim	neti:dʒeji	neti:dʒem				l
neticelendirmek											l
neuzübillah											l
nev											l
nevama											l
ayna											l
nevima											l
neva											l
nevahi											l
nevakıs											l
nevale			neva:ɫe	neva:ɫedʒi	neva:ɫejim	neva:ɫeji	neva:ɫem				l
nevazil											l
nevbahar											l
nevbet											l
nevcivan											l
nevha											l
aynacı											l
nevheves											l
nevi											l
nevicad											l
nevim											l
nevir											l
nevmî											l
nevmid											l
nevmit											l
nevr											l
nevralji											l
aynaz											l
nevruz			nevɾuz		nevɾuzum	nevɾuzu	nevɾuzum				l
nevzad											l
nevzat											l
ney			nej		nejim	neji	nejim				l
neye											l
neyleyim											l
nezafet											l
nezahet											l
nezaket											l
nezaketen			neza:keten								l
aynen			ajnen								l
nezamandır											l
nezaret			neza:ɾet	neza:ɾettʃi	neza:ɾetim	neza:ɾeti	neza:ɾetim				l
nezd											l
nezd-											l
nezetmek											l
nezfî											l
nezi											l
nezif											l
nezih											l
nezir											l
ayni											l
nezle			nezɫe	nezɫedʒi	nezɫejim	nezɫeji	nezɫem				l
nezolunmak											l
nezr-											l
nezretmek											l
nezt											l
nıkat											l
nıkrıs											l
nıkris											l
nışadır											l
nışasta											l
adaçayı											l
