"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
"n ø m ø h","nömöh","øø",-20.22203636369186,-27.127441990238378,-26.772419935381528,1.1051797136202524,1.001638791460164,1.1052765997185356,1.00176987702246,6,"nömöh.mp3","Task",1
"l ø ʒ ɯ v","löjıv","øɯ",-23.962302765397112,-Inf,-31.445776025167124,1.0912637492814083,1.000065210303228,1.0913810872864589,1.0002790383147078,6,"löjıv.mp3","Task",1
"ɟ ø ʒ ɯ ʒ","göjıj","øɯ",-28.802367630859823,-Inf,-33.85250624509612,1.0750793759745922,1,1.075228524021754,1.0002179098838746,6,"göjıj.mp3","Task",1
"g ɯ ʃ a n","gışan","ɯa",-16.88053831059943,-13.952848512019289,-13.993863814055455,1.3804651524522582,1.0360723486113332,1.3800477574614127,1.0341140599250127,6,"gışan.mp3","Task",1
"k ɯ ɟ e h","kıgeh","ɯe",-20.35414713041565,-Inf,-22.976968237654425,1.283235141884312,1.015169372438029,1.2830152250357565,1.0145770800961191,6,"kıgeh.mp3","Task",1
"n ɯ c e c","nıkek","ɯe",-22.009654976643485,-Inf,-30.90854985906133,1.183230340688058,1.0009770597047227,1.18318779269999,1.0011370759656055,6,"nıkek.mp3","Task",1
"v ɯ c i c","vıkik","ɯi",-23.48915487553736,-Inf,-31.50043512796986,1.1869854330618432,1.000596848743176,1.186935765181287,1.0007801201825397,6,"vıkik.mp3","Task",1
"v ɯ ʒ o ʒ","vıjoj","ɯo",-24.09804256484363,-Inf,-26.60448713952874,1.094757980140496,1.0004664281367202,1.0948759012986842,1.0006578633208734,6,"vıjoj.mp3","Task",1
"v ɯ ʒ o h","vıjoh","ɯo",-21.714556093501532,-Inf,-27.904550653039436,1.1066262553279758,1.0002707972270364,1.1067194621758885,1.000474478028374,6,"vıjoh.mp3","Task",1
"n ɯ g u v","nıguv","ɯu",-18.672938523470744,-24.97225112201225,-24.798231194095607,1.1366324521867113,1.0015222117456346,1.1366721183407424,1.001653631447348,6,"nıguv.mp3","Task",1
"n ɯ c y c","nıkük","ɯy",-23.384060766098123,-Inf,-30.85235459407357,1.099749800486337,1.0003901669756716,1.0998591993321496,1.0005869200881068,6,"nıkük.mp3","Task",1
"f ɯ d y c","fıdük","ɯy",-21.761233097918407,-23.89174718193573,-23.686632689099905,1.1325830509681372,1.0056072670834837,1.1326353404889125,1.0055261372591189,6,"fıdük.mp3","Task",1
"g ɯ ɟ ø ʒ","gıgöj","ɯø",-26.888884788763463,-Inf,-25.491689893774726,1.0923427028145285,1.0025458422833493,1.0924665333420214,1.0026299630393898,6,"gıgöj.mp3","Task",1
"g ɯ ʒ ɯ f","gıjıf","ɯɯ",-21.788275067767117,-Inf,-25.430059507970466,1.155577346931862,1.0034694890371534,1.155582793730333,1.0034952632757648,6,"gıjıf.mp3","Task",1
"g ɯ d͡ʒ ɯ ʃ","gıcış","ɯɯ",-19.48982961121296,-15.852311354959165,-15.901866630957937,1.1748084006569268,1.0097080569984351,1.1747780038271325,1.0093543709655342,6,"gıcış.mp3","Task",1
